"PDB","UniProt","Len.","Res.","ECOD ID","SCOPe ID","CATH ID","α%","β%","Coil%","Avg. RMSF","Avg. gyr.","Div. SE","Div. MM","NR domain"
"2pstX","Q9I169","74","1.8","[4076.2.1.1]","d.100.2.1","3.90.820.10","32","26","42","3.94","14.76","0.662","0.649","Yes"
"2pu3A","Q2XSL7","211","1.5","[378.1.1.3]","d.4.1.6","-","46","15","39","0.87","17.06","0.888","0.861","Yes"
"2pu9A","Q55389","110","1.65","[911.1.1.1]","g.36.1.1","3.90.460.10","52","5","43","0.86","13.70","0.873","0.844","Yes"
"2pv4A","A1S8W8","145","1.95","[524.2.1.1]","a.286.1.1","1.10.3440.10","76","0","24","1.55","16.18","0.805","0.799","Yes"
"2pw8I","P00734","65","1.84","[351.1.1.2]","g.3.15.2","2.70.10.10","0","26","74","6.37","15.85","0.511","0.483","Yes"
"2py5A","P03680","575","1.6","4970.1.1.15 304.48.1.36 [4968.1.1.1] 2484.1.1.107","c.55.3.5 e.8.1.1","1.10.287.690 3.30.420.10 3.30.1770.10 3.90.1600.10 4.10.80.20 4.10.80.30","28","34","38","1.11","26.84","0.945","0.950","Yes"
"2pyqB","Q28JX0","114","1.5","[4201.1.1.1]","a.279.1.1","1.10.238.120","63","2","35","0.86","13.47","0.897","0.849","Yes"
"2q2gA","A3FQ69","180","1.9","[67.1.1.1] 67.1.1.4","b.4.1.0 b.4.1.0","2.60.260.20 2.60.260.20","12","46","42","1.85","24.75","0.767","0.738","Yes"
"2q7xA","Q97PN8","326","2.0","7513.1.1.1","-","3.40.50.10680","39","20","41","1.12","19.94","0.870","0.918","No"
"2q9rA","A3D7B7","200","1.91","[3813.1.1.1]","-","1.20.1590.10","74","0","26","0.95","17.39","0.909","0.874","Yes"
"2qcuB","P13035","501","1.75","[6058.1.1.2] 244.1.1.45 2003.1.2.143","-","1.10.8.870 3.30.9.10 3.50.50.60 6.10.250.1890","34","26","41","1.05","23.63","0.922","0.883","Yes"
"2qdxA","Q9HYK7","257","1.55","1.1.7.16 7514.1.1.1","b.43.4.2 c.25.1.1","2.40.30.10 3.40.50.80","26","33","41","0.82","18.46","0.947","0.913","No"
"2qevA","Q9BIH3","145","2.0","108.2.1.1","-","1.10.238.20","62","1","37","0.99","15.15","0.798","0.807","No"
"2qhqB","Q87IM6","125","1.76","[3438.1.1.1]","-","3.20.160.10","48","12","40","1.52","14.50","0.864","0.891","Yes"
"2qiaA","P0A722","262","1.74","208.1.1.9","b.81.1.1","1.20.1180.10 2.160.10.10","18","29","53","0.76","20.49","0.934","0.930","No"
"2qjzA","Q15691","123","1.25","193.1.1.2","a.40.1.1","1.10.418.10","57","0","43","1.09","13.80","0.883","0.808","No"
"2qmjA","O43451","870","1.9","12.1.1.249 12.3.1.9 [4178.1.1.9] 2002.1.1.222 [355.1.1.3]","b.30.5.11 b.71.1.4 b.150.1.1 c.1.8.13","2.60.40.1180 2.60.40.1180 2.60.40.1760 3.20.20.80 4.10.110.10","20","29","51","0.80","28.91","0.966","0.955","Yes"
"2qnlA","-","162","1.5","620.1.1.2","-","1.20.120.450","70","2","28","0.82","17.07","0.917","0.906","No"
"2qp2A","Q7N6X0","511","2.0","[3448.1.1.2] [5089.1.1.1]","b.77.4.1 f.69.1.2","2.100.10.50","30","27","43","1.50","28.41","0.860","0.727","Yes"
"2qq4B","Q5SHJ4","138","1.85","244.3.1.3","d.224.1.0","3.90.1010.10","56","16","28","1.11","14.37","0.805","0.769","No"
"2qsaA","Q17433","109","1.68","[650.1.1.1]","-","1.10.287.110","64","0","36","1.40","15.21","0.814","0.793","Yes"
"2qskA","P86041","95","1.0","[6025.1.1.1]","-","-","9","13","78","0.71","14.40","0.918","0.827","Yes"
"2qtdA","Q57773","105","1.7","[2484.4.1.1]","-","3.30.420.130","26","34","40","0.77","13.07","0.848","0.867","Yes"
"2qudA","Q38062","125","1.6","265.1.1.2","d.85.1.1","3.30.380.10","20","45","35","2.75","16.71","0.529","0.528","No"
"2qwoB","P19120","92","1.7","650.1.1.1","a.2.3.1","1.10.287.110","71","0","29","0.77","12.96","0.911","0.818","No"
"2r2dA","A9CKY2","276","1.75","247.1.1.8","-","3.60.15.10","28","24","48","1.22","18.67","0.883","0.824","No"
"2r31A","A1B060","239","1.0","[4351.1.1.1]","d.381.1.1","1.10.3580.10 3.30.2180.10","56","10","34","1.15","21.35","0.904","0.920","Yes"
"2ra8A","Q64V53","362","1.95","207.1.1.48 [4210.1.1.1]","-","2.20.140.10 3.80.10.10","34","22","44","2.10","22.78","0.799","0.727","Yes"
"2rbkA","Q8A090","261","1.0","[3012.1.1.13] 2006.1.1.75","c.108.1.10","3.30.1240.10 3.40.50.1000","37","20","43","1.00","19.00","0.840","0.911","Yes"
"2rciA","Q45723","204","1.8","[858.1.1.1]","-","3.40.198.10","34","35","30","1.53","17.68","0.885","0.831","Yes"
"2rdiA","Q97W02","342","1.92","102.1.1.19 [302.1.1.1] 304.48.1.46 [850.1.1.4]","d.240.1.1 e.8.1.7","1.10.150.20 3.30.70.270 3.30.1490.100 3.40.1170.60","44","25","31","4.07","24.12","0.655","0.663","Yes"
"2rffA","Q97XP0","111","1.4","[316.1.1.16]","-","3.30.460.10","38","25","37","0.91","14.33","0.911","0.895","Yes"
"2rijA","Q0P823","387","1.9","208.1.1.3 [3610.1.1.3]","-","2.160.10.10 3.30.60.70 3.30.70.2010","28","23","48","1.23","26.35","0.919","0.788","Yes"
"2rjiA","Q25842","84","1.8","103.4.1.1","-","1.10.1740.170","64","0","36","0.71","12.06","0.881","0.879","No"
"2rjwA","P02640","67","1.55","155.1.1.1","a.14.1.1","1.10.950.10","54","0","46","1.32","12.04","0.794","0.747","No"
"2rkqA","Q9VS97","169","1.5","[285.1.1.1]","d.118.1.0","3.40.80.10","28","20","52","0.65","14.91","0.941","0.930","Yes"
"2rkuA","P53350","294","1.95","206.1.1.24","d.144.1.0","1.10.510.10 3.30.200.20","34","19","47","1.10","20.46","0.891","0.791","No"
"2rkvA","O42692","451","1.6","[323.1.1.8] 323.1.1.36","-","3.30.559.10 3.30.559.10","32","24","44","1.00","22.23","0.924","0.923","Yes"
"2uxyA","P11436","341","1.25","246.1.1.1","-","3.60.110.10","33","24","43","1.58","21.05","0.826","0.868","No"
"2v05A","Q8DR52","311","1.67","[702.1.1.10]","-","2.10.270.10 2.10.270.20","0","44","56","2.13","32.65","0.747","0.701","Yes"
"2v0uA","O49003","146","1.4","[223.1.1.113]","-","3.30.450.20","34","27","40","0.95","15.04","0.883","0.864","Yes"
"2v27A","Q47XN7","275","1.5","257.1.1.1","-","1.10.800.10","48","10","42","1.90","19.09","0.890","0.894","No"
"2v4bB","Q9UHI8","300","2.0","2498.1.1.37 [3246.1.1.2]","-","3.40.390.10 3.40.1620.60","31","18","52","1.36","19.95","0.845","0.827","Yes"
"2v4nA","P66881","254","1.7","[7527.1.1.2]","c.106.1.0","3.40.1210.10","29","26","45","3.52","19.72","0.768","0.791","Yes"
"2v6aO","P00877","140","1.5","302.2.1.1","d.73.1.1","3.30.190.10","24","22","54","2.43","16.74","0.692","0.620","No"
"2v9mA","P32169","274","1.3","281.1.1.2","c.74.1.1","3.40.225.10","47","16","36","0.91","19.87","0.930","0.896","No"
"2vacA","Q6IBS0","134","1.7","[224.1.1.1]","d.109.1.2","3.40.20.10","40","33","27","0.92","14.65","0.805","0.759","Yes"
"2vccA","A0A0H2YU91","891","2.0","10.1.2.114 [4266.1.1.1] 2002.1.1.133 2498.2.1.5","-","1.20.120.670 2.60.120.260 3.20.20.80 3.30.379.10","41","16","43","0.89","29.49","0.957","0.955","Yes"
"2vfkA","-","205","1.5","[264.1.1.17]","-","3.90.1140.10","37","27","36","1.02","17.98","0.910","0.855","Yes"
"2vfxC","Q13257","206","1.95","859.1.1.2","d.135.1.1","3.30.900.10","32","30","39","1.70","18.31","0.859","0.838","No"
"2vg3C","P9WFF7","284","1.8","[7534.1.1.1]","-","3.40.1180.10","40","14","45","1.19","19.79","0.875","0.846","Yes"
"2vh3A","P85511","113","1.16","[3531.1.1.1]","-","1.20.120.1410","59","0","41","1.03","13.91","0.883","0.852","Yes"
"2vi1A","P02883","207","1.04","11.8.1.5 [3484.1.1.4]","b.25.1.1","2.60.110.10","11","39","51","0.84","16.76","0.905","0.872","Yes"
"2vkpB","Q96KE9","109","1.9","226.1.1.1","-","3.30.710.10","48","13","39","0.91","14.13","0.892","0.832","No"
"2vlfB","P31013","456","1.89","3016.1.1.7 7577.1.1.6","c.67.1.2","3.40.640.10 3.90.1150.10","44","14","41","1.04","22.48","0.906","0.938","No"
"2vm5A","Q13075","106","1.8","[381.1.1.1]","g.52.1.0","1.10.1170.10","32","14","54","2.51","14.33","0.709","0.724","Yes"
"2vmcA","P42530","257","1.9","10.1.2.24 [4182.1.1.1]","-","2.60.40.2080 2.60.120.260","5","49","46","6.71","27.85","0.549","0.529","Yes"
"2vnlA","P12528","151","1.8","[3857.1.1.1]","-","2.170.14.10","26","24","50","7.89","22.91","0.553","0.502","Yes"
"2vriA","P0C6U6","174","1.9","[7529.1.1.1]","c.50.1.0","3.40.220.10","36","21","43","1.28","15.99","0.904","0.878","Yes"
"2vrsC","Q992I2","211","1.75","5092.1.1.5 [53.1.1.]","-","1.20.5.170 2.10.25.20 2.60.90.40","21","44","35","9.53","27.39","0.622","0.651","Yes"
"2vy8A","P31345","157","1.2","[3232.1.1.4]","d.396.1.1","-","38","10","52","2.47","16.93","0.728","0.729","Yes"
"2vzcA","Q9NVD7","131","1.05","193.1.1.2","-","1.10.418.10","63","0","37","1.42","15.11","0.839","0.834","No"
"2w0gA","Q16543","129","1.88","[551.1.1.2]","-","1.20.58.610","81","0","19","0.87","15.41","0.930","0.886","Yes"
"2w0iA","Q6IBS0","135","1.8","224.1.1.1","d.109.1.0","3.40.20.10","33","32","35","1.17","15.08","0.797","0.829","No"
"2w39A","Q874E3","298","1.1","[10.1.1.14]","-","2.60.120.200","19","37","44","0.71","18.39","0.958","0.923","Yes"
"2w56A","Q9KUL0","147","1.9","[3152.1.1.1]","-","3.10.450.430","26","33","41","1.24","15.83","0.791","0.733","Yes"
"2w6kA","Q9HZQ0","145","1.7","[4262.1.1.1]","c.151.1.1","3.30.420.180","38","20","42","1.31","15.04","0.834","0.826","Yes"
"2w86A","P35555","147","1.8","[370.1.1.1] 389.1.1.36 389.1.1.36","-","2.10.25.10 2.10.25.10 3.90.290.10","9","40","51","3.79","19.27","0.448","0.352","Yes"
"2w8xA","-","72","1.6","384.1.1.7","-","4.10.410.10","26","26","47","1.36","12.06","0.826","0.798","No"
"2w9yA","Q9TZ51","140","1.8","[3065.1.1.2]","-","1.20.120.1100","71","0","29","0.83","15.14","0.856","0.835","Yes"
"2wawA","D5MNX3","199","1.6","[7516.1.1.15]","-","3.90.550.10","34","22","44","1.12","16.32","0.853","0.841","Yes"
"2wb6A","Q70LC3","130","1.95","[3066.1.1.1]","-","3.90.1150.90","28","28","44","2.36","16.70","0.832","0.794","Yes"
"2wbfX","Q9TY95","265","1.6","[219.1.1.194]","-","3.90.70.10","28","20","52","0.91","18.80","0.914","0.903","Yes"
"2wcuA","Q8R2K1","149","1.9","301.1.1.2","c.133.1.0","3.40.1650.10","34","19","47","1.14","15.05","0.858","0.902","No"
"2wfrA","O43323","165","1.95","[307.1.1.1]","d.65.1.2","3.30.1380.10","28","19","53","0.96","15.69","0.906","0.936","Yes"
"2wkxA","P75820","261","1.8","144.1.1.7 285.1.1.1","a.20.1.1 d.118.1.1","1.10.101.10 3.40.80.10","35","17","48","2.88","20.70","0.822","0.801","No"
"2wltA","Q9ZLB9","332","1.4","[7507.1.1.1] [7546.1.1.1]","c.88.1.0","3.40.50.40 3.40.50.1170","33","21","45","1.13","21.23","0.872","0.886","Yes"
"2wn3C","P02886","254","1.59","10.1.2.24 4182.1.1.1","-","2.60.40.2080 2.60.120.260","1","49","50","6.25","25.94","0.560","0.549","No"
"2wnpF","O00602","217","1.21","[269.1.1.2]","d.171.1.0","3.90.215.10 4.10.530.10","15","30","55","0.55","16.60","0.965","0.948","Yes"
"2wpqC","Q8ZL64","99","1.85","3567.1.1.26","-","1.20.5.170","97","0","3","4.10","43.00","0.594","0.455","No"
"2wqiD","O15350","51","1.7","[567.1.1.1]","a.53.1.0","4.10.170.10","67","0","33","4.41","13.85","0.388","0.347","Yes"
"2wr8A","O58212","259","1.77","1.1.4.2 [7540.1.1.1]","-","2.40.30.90 3.40.50.10790","26","30","44","0.82","20.68","0.910","0.966","Yes"
"2wsiA","P38913","306","1.9","[2005.1.1.136]","-","3.40.50.620","42","9","48","0.81","19.81","0.946","0.917","Yes"
"2wyaA","P54868","460","1.7","7581.1.1.3 7581.1.1.4","-","3.40.47.10","44","20","36","0.93","22.47","0.936","0.931","No"
"2wzoA","Q3YBR2","146","1.6","[3131.1.1.2]","-","3.30.160.360","27","29","44","1.28","16.26","0.858","0.847","Yes"
"2x49A","P0A1I3","333","1.5","[3254.1.1.2] [3253.1.1.2] 2485.1.1.73 [3255.1.1.1]","-","1.10.8.540 3.40.5.40 3.40.30.60 3.40.50.12790","49","18","33","1.07","21.49","0.934","0.859","Yes"
"2x5gA","Q8QL44","96","2.0","[4221.1.1.3]","-","3.30.720.60","40","23","38","1.58","14.65","0.695","0.738","Yes"
"2x5hB","Q8QL44","97","1.8","4221.1.1.3","-","3.30.720.60","42","29","29","3.08","15.81","0.486","0.494","No"
"2x5rA","Q6ZYF6","127","2.0","[3149.1.1.1]","-","3.30.470.40","18","36","46","1.39","14.15","0.803","0.781","Yes"
"2x96A","Q10714","598","1.85","[2498.1.1.15]","d.92.1.5","-","63","3","34","1.25","25.31","0.802","0.811","Yes"
"2x9oA","Q02189","244","1.55","[867.1.1.2]","-","3.40.1500.20","44","23","33","1.20","18.07","0.873","0.866","Yes"
"2xdgA","Q02643","92","1.95","913.1.1.1","-","4.10.1240.10","29","21","50","1.83","14.44","0.724","0.762","No"
"2xeuA","P78317","64","1.5","376.1.1.20","-","3.30.40.10","22","22","56","2.29","12.03","0.618","0.443","No"
"2xf2A","D9N167","688","1.8","4028.1.1.4 4047.1.1.4 4048.1.1.1 2007.1.1.17","-","1.20.1370.20 2.40.180.10 3.40.50.880","29","15","56","2.78","28.47","0.811","0.810","No"
"2xf7A","O48468","51","1.61","[3151.1.1.1]","-","1.10.10.1530","55","0","45","1.21","10.92","0.795","0.737","Yes"
"2xjqA","P38894","258","1.35","[5095.1.1.1]","b.179.1.2","2.60.120.1560 6.20.60.20","6","39","55","1.08","19.48","0.912","0.921","Yes"
"2xmxA","P05820","271","1.67","3173.1.1.1","-","1.20.1440.280 3.30.450.400","39","20","42","1.05","21.37","0.886","0.911","No"
"2xolB","O30077","176","1.35","629.1.1.1","a.184.1.1","1.10.3480.10","69","1","30","1.47","17.11","0.827","0.781","No"
"2xppA","Q8SUS7","145","1.74","611.3.1.2","-","1.20.930.10","72","0","28","1.09","15.93","0.901","0.881","No"
"2xrhA","O25423","100","1.5","[3201.1.1.1]","-","1.20.120.1430","56","0","44","2.18","14.11","0.754","0.737","Yes"
"2xseA","Q9U6M1","170","1.9","[3277.1.1.1]","-","1.20.120.1440","74","0","26","1.43","16.77","0.879","0.792","Yes"
"2xu8B","Q9I380","116","1.98","4.24.1.1","-","3.90.70.190","28","28","45","3.15","15.64","0.649","0.606","No"
"2xvsA","Q8N0Z6","166","1.8","[2.1.1.96]","-","2.40.50.550","24","34","42","1.15","16.65","0.886","0.804","Yes"
"2xz2A","-","66","1.4","[558.1.1.3]","-","1.20.960.50","62","0","38","2.22","13.04","0.706","0.626","Yes"
"2xz3A","P0AEX9","463","1.95","[3782.1.1.3] 7523.1.1.23 7523.1.1.25","-","-","51","16","33","4.14","28.71","0.706","0.750","Yes"
"2y1qA","P37571","150","1.5","[148.1.2.1]","-","1.10.1780.10","62","4","34","1.28","15.28","0.856","0.875","Yes"
"2y1yA","P02511","90","2.0","[319.1.1.2]","-","2.60.40.790","8","54","38","2.49","17.15","0.601","0.634","Yes"
"2y20A","O28769","58","1.65","[4168.1.1.]","a.274.1.1","1.10.8.500","60","0","40","2.19","12.72","0.764","0.729","Yes"
"2y39A","P37975","118","1.41","[3711.1.1.3]","-","1.20.120.1490","77","0","23","1.99","18.20","0.753","0.673","Yes"
"2y3wA","Q7ZVT3","182","1.98","719.1.1.3 101.1.12.15 [3939.1.1.23]","-","2.170.210.20","32","36","32","2.52","19.42","0.794","0.759","Yes"
"2y44A","Q07419","184","1.65","[3633.1.1.3]","-","1.20.1260.80","86","0","14","1.10","23.94","0.787","0.747","Yes"
"2y4xB","G3XCX7","93","1.7","[3454.1.1.1]","-","2.30.30.830","3","48","48","1.67","13.99","0.709","0.690","Yes"
"2y7bA","Q9NQW6","134","1.9","[220.1.1.13]","-","2.30.29.30","16","41","43","1.17","15.38","0.849","0.777","Yes"
"2yclA","Q3ACS3","445","1.95","2002.1.1.206 [7595.1.1.1] [3858.1.1.1]","-","3.20.20.20 3.40.50.11600","43","16","40","4.81","26.32","0.583","0.574","Yes"
"2ygsA","O14727","92","1.6","110.1.1.1","a.77.1.3","1.10.533.10","75","0","25","0.54","12.24","0.920","0.922","No"
"2yjgA","D9TQ02","436","1.8","[7601.1.1.1] [7602.1.1.1]","-","3.40.50.11440 3.90.226.30","36","25","38","1.13","22.94","0.932","0.946","Yes"
"2yp8A","I2D7A8","503","1.8","10.5.1.19 [3847.1.1.2]","b.19.1.2","3.90.20.10 3.90.209.20","23","29","48","1.91","39.53","0.716","0.630","Yes"
"2yskA","Q5SIE2","145","1.9","[4198.2.1.1]","-","1.10.490.110","65","1","34","1.51","15.52","0.786","0.819","Yes"
"2yvoA","Q5SJY9","182","1.67","221.4.1.3","-","3.90.79.10","22","40","38","2.55","19.62","0.734","0.689","No"
"2yvqA","P31327","143","1.98","[7543.1.1.1]","-","3.40.50.1380","45","15","41","3.58","15.89","0.814","0.798","Yes"
"2yxnA","P0AGJ9","322","1.8","2005.1.1.139","c.26.1.1","1.10.240.10 3.40.50.620","52","10","39","1.27","21.41","0.843","0.905","No"
"2yztA","Q5SHH4","67","1.8","[4100.1.1.3]","-","3.30.160.250","22","21","57","2.43","12.84","0.707","0.690","Yes"
"2z0jE","Q5SID6","237","1.5","[7551.1.1.1]","-","3.90.1560.10","39","22","39","0.65","16.99","0.961","0.939","Yes"
"2z0xA","Q5SHN1","158","1.64","[299.1.1.1]","d.116.1.0","3.90.960.10","33","25","42","0.76","14.91","0.915","0.911","Yes"
"2z4uA","P84854","261","1.1","[292.1.1.1]","d.165.1.1","3.40.420.10 4.10.470.10","38","24","38","0.78","18.74","0.936","0.885","Yes"
"2z6rA","O58456","265","1.5","1137.1.1.4 7550.1.1.1","c.90.1.1","3.30.950.10 3.40.1010.10","36","22","42","1.52","20.61","0.771","0.633","No"
"2z7fI","P08246","50","1.7","[927.1.1.1]","g.3.14.0","4.10.75.10","6","20","74","1.08","11.65","0.800","0.726","Yes"
"2zcaB","Q53VY0","169","1.8","[3663.1.1.1]","-","1.10.520.40","66","1","33","1.21","17.08","0.915","0.889","Yes"
"2zfzD","P9WPY9","79","1.85","306.2.1.1","d.74.2.0","3.30.1360.40","42","28","30","0.70","11.42","0.945","0.801","No"
"2znrA","Q96FJ0","178","1.2","[2492.1.1.10]","c.97.3.1","3.40.140.10","27","35","38","1.18","16.38","0.913","0.893","Yes"
"2zwdA","Q83WS2","281","1.35","[146.1.1.4]","a.86.1.3","1.10.1280.10","38","4","58","0.86","18.17","0.942","0.934","Yes"
"2zzdE","O66187","157","1.78","[3686.1.1.1]","-","1.10.472.20","54","1","45","3.70","18.17","0.480","0.491","Yes"
"3a0yB","Q9X180","152","1.57","225.1.1.3","-","3.30.565.10","39","30","30","0.79","15.55","0.940","0.904","No"
"3a1gA","P03431","80","1.7","[3078.1.1.1]","j.151.1.1","6.10.140.720","75","0","25","2.14","14.32","0.545","0.546","Yes"
"3a1gB","P03431","40","1.7","[3079.1.1.2]","-","-","82","0","18","3.05","11.02","0.371","0.360","Yes"
"3a1uA","Q9WXQ8","258","1.8","3290.1.1.6 2004.1.1.258","-","1.10.287.1770 3.40.50.300","45","18","37","1.02","19.25","0.923","0.834","No"
"3a2qA","P13398","493","1.8","[7552.1.1.1]","-","3.90.1300.10","40","15","45","0.92","21.60","0.944","0.948","Yes"
"3a39A","P80176","83","0.72","[374.1.1.2]","g.35.1.1","4.10.490.10","22","28","51","0.70","11.81","0.893","0.888","Yes"
"3a3dB","P45161","453","1.6","4334.1.1.1 4019.1.1.22 223.3.1.19 2494.2.1.1","e.3.1.3","3.40.710.10 3.50.80.20","29","27","44","1.06","25.13","0.933","0.919","No"
"3a7lA","P0A6T9","128","1.3","325.1.7.7","b.84.1.1","2.40.50.100","22","34","45","0.86","14.04","0.839","0.898","No"
"3aa6B","P13127","244","1.9","[4030.1.1.2] [4051.1.1.6] [4050.1.1.6]","-","1.20.58.570 3.90.1150.210","37","35","27","1.95","19.98","0.666","0.677","Yes"
"3agnA","P00654","114","0.96","[234.1.1.1]","d.1.1.4","3.10.450.30","20","26","54","0.88","13.58","0.869","0.786","Yes"
"3ajfA","Q67897","94","2.0","[3825.1.1.1]","-","1.20.1440.190","55","6","38","1.37","13.11","0.718","0.785","Yes"
"3apaA","O60844","141","1.65","[76.1.1.12]","-","2.100.10.30","3","55","43","0.80","14.33","0.916","0.927","Yes"
"3aprE","P06026","325","1.8","1.1.1.46","b.50.1.2","2.40.70.10 2.40.70.10","11","47","42","1.10","20.48","0.864","0.899","No"
"3b49A","Q929T5","211","1.6","[886.1.1.2]","-","3.20.80.10","31","28","41","1.40","18.47","0.826","0.856","Yes"
"3b4qB","Q6NIK0","94","1.55","[6040.1.1.1]","-","1.10.1200.100","69","0","31","1.79","13.33","0.756","0.764","Yes"
"3b4wA","P96405","495","1.8","[7524.1.1.1] 7524.1.1.2","c.82.1.0","3.40.309.10 3.40.605.10","38","20","42","1.28","24.54","0.936","0.946","Yes"
"3b9qA","O80842","302","1.75","[181.1.1.1] 2004.1.1.156","-","1.20.120.140 3.40.50.300","53","12","35","1.08","22.00","0.892","0.812","Yes"
"3becA","P0AEB2","363","1.6","[51.1.1.2] 4019.1.1.20 223.3.1.18","b.105.1.1 e.3.1.1","2.60.410.10 3.40.710.10","31","31","37","1.55","25.14","0.856","0.863","Yes"
"3bhgA","Q5ZXD1","459","1.9","[4952.1.1.10] [4953.1.1.2] [602.1.1.2]","a.127.1.0","1.10.40.30 1.10.275.10 1.20.200.10","62","4","34","2.38","31.67","0.788","0.766","Yes"
"3bjdB","Q9HY91","332","1.85","150.1.2.5 [1051.1.1.1]","-","1.10.1240.20 1.20.910.10","69","0","31","1.15","20.58","0.892","0.883","Yes"
"3bk5A","Q87Q63","237","2.0","[71.1.1.10]","-","2.50.20.10","12","49","39","0.77","17.90","0.945","0.933","Yes"
"3bl9A","Q96C86","301","1.8","[519.1.1.1] 312.1.1.3","d.13.1.3 d.246.1.1","3.30.200.40 3.30.428.10","31","29","40","4.27","24.12","0.611","0.628","Yes"
"3bn0A","O66523","112","2.0","[837.1.1.3]","d.27.1.1","3.30.1320.10","21","42","38","2.77","16.33","0.768","0.725","Yes"
"3boeA","Q50EL4","210","1.4","[4126.2.1.1]","c.154.1.1","-","35","22","43","0.75","15.97","0.927","0.929","Yes"
"3bpjB","O75822","80","1.85","[6061.1.1.1]","-","1.10.246.60","68","0","32","2.10","14.97","0.426","0.416","Yes"
"3bptA","Q6NVY1","363","1.5","[2486.1.1.21]","-","3.90.226.10","52","12","36","1.08","21.14","0.928","0.909","Yes"
"3bqkA","Q6UDW7","360","1.8","[4250.1.1.1] [4984.1.1.4]","-","1.20.1310.20","51","4","45","1.27","23.92","0.861","0.882","Yes"
"3bqpB","P07602","80","1.3","198.1.1.4","a.64.1.0","1.10.225.10","70","0","30","0.82","11.75","0.843","0.801","No"
"3bwuD","P31697","125","1.76","[4212.1.1.1]","b.167.1.1","3.10.20.410","22","30","48","3.11","16.78","0.705","0.604","Yes"
"3bzlD","Q9AJ26","83","1.71","[4104.1.1.1]","-","3.40.1690.10","46","17","37","1.30","12.70","0.716","0.637","Yes"
"3bznA","P38051","431","2.0","[880.1.1.3]","d.161.1.1","3.60.120.10","32","36","32","1.18","23.10","0.897","0.842","Yes"
"3c05A","Q805F7","62","1.7","366.1.1.3","g.20.1.1","4.10.70.10","0","21","79","1.34","14.13","0.765","0.664","No"
"3c0fB","O28758","91","1.8","[6115.1.1.1]","-","3.30.1490.340","25","32","43","1.64","13.84","0.820","0.751","Yes"
"3c1qB","P45780","123","1.7","5060.2.1.1","-","1.20.81.30","72","0","28","1.66","16.02","0.858","0.820","No"
"3c2qB","Q6LXX7","345","2.0","[6073.1.1.1] 2003.1.4.18","-","2.40.420.10 3.40.50.10690","37","19","45","1.59","23.16","0.785","0.709","Yes"
"3c8wC","Q5ZXQ9","255","1.6","[4295.1.1.1]","d.347.1.1","2.40.400.10","11","51","38","2.30","19.45","0.830","0.856","Yes"
"3c9pA","A5MA43","123","1.96","[6056.1.1.1]","-","1.10.8.290","57","5","38","1.23","14.14","0.844","0.795","Yes"
"3cjsB","Q84BQ9","72","1.37","[3781.1.1.1]","d.47.1.1","3.30.1550.10","29","33","38","0.62","11.93","0.906","0.864","Yes"
"3claA","P00484","213","1.75","323.1.1.3","c.43.1.1","3.30.559.10","31","29","40","0.91","17.98","0.919","0.881","No"
"3crvA","Q4JC68","551","2.0","[3636.1.1.6] 2004.1.1.74 2004.1.1.106","-","1.10.275.30 3.40.50.300 3.40.50.300","42","17","41","1.19","25.34","0.900","0.837","Yes"
"3cw3A","Q9Y4K1","96","1.88","[72.1.1.1]","-","2.60.20.10","4","40","56","1.65","13.89","0.809","0.765","Yes"
"3cy4A","P11456","154","1.51","63.1.1.2","b.64.1.1","2.70.130.10","12","40","48","0.89","15.79","0.854","0.842","No"
"3cyiA","Q9BYN0","110","1.8","[876.1.1.1]","d.268.1.4","3.90.1530.10","33","25","42","1.95","14.82","0.772","0.761","Yes"
"3czzB","P81180","101","1.36","705.1.1.1","b.89.1.1","2.30.60.10","6","53","41","0.72","14.12","0.908","0.917","No"
"3d1gA","P0A988","366","1.64","227.1.1.1 227.1.1.3 227.1.1.4","d.131.1.1 d.131.1.1 d.131.1.1","3.10.150.10 3.10.150.10 3.10.150.10","22","44","34","1.34","25.87","0.924","0.721","No"
"3d2qA","Q9NR56","70","1.5","906.1.1.8 906.1.1.12","-","3.30.1370.210","26","16","59","1.98","12.69","0.600","0.451","No"
"3d3yA","Q82ZB5","425","1.95","[309.1.1.27] 309.1.1.40","-","3.30.830.10 3.30.830.10","45","23","32","0.95","24.35","0.943","0.899","Yes"
"3d4iA","Q3V3E1","273","1.95","7525.1.1.1","-","3.40.50.1240","36","13","51","2.03","19.36","0.846","0.826","No"
"3d7aB","O58738","138","1.9","[882.1.1.2]","d.77.1.0","3.30.1440.10","33","30","37","1.09","15.48","0.909","0.884","Yes"
"3da8A","P9WHM5","215","1.3","7571.1.1.1","-","3.40.50.170","34","26","40","1.31","17.95","0.853","0.835","No"
"3daiA","Q6PL18","130","1.95","[633.1.1.10]","a.29.2.0","1.20.920.10","72","0","28","0.96","16.61","0.861","0.845","Yes"
"3danA","Q40778","473","1.8","[149.1.1.3]","-","1.10.630.10","53","11","36","1.16","23.25","0.915","0.930","Yes"
"3dd6A","Q81LA9","255","1.7","212.1.1.25 [245.1.1.12]","d.14.1.4 d.101.1.1","3.30.230.70","35","28","37","1.65","19.30","0.836","0.859","Yes"
"3dffA","Q6ZZJ1","273","1.6","[7567.1.1.1]","-","3.40.50.10320","42","16","42","1.14","18.86","0.868","0.871","Yes"
